#Coverage	Number of genomic locations
180.0	26.0
181.0	56.0
182.0	127.0
183.0	70.0
184.0	59.0
185.0	69.0
186.0	101.0
187.0	173.0
188.0	119.0
189.0	201.0
190.0	87.0
191.0	78.0
192.0	79.0
193.0	54.0
194.0	57.0
195.0	21.0
196.0	40.0
197.0	45.0
198.0	15.0
199.0	11.0
200.0	18.0
201.0	15.0
202.0	27.0
203.0	47.0
204.0	42.0
205.0	18.0
206.0	57.0
207.0	5.0
208.0	22.0
209.0	12.0
210.0	23.0
211.0	53.0
212.0	45.0
213.0	24.0
214.0	61.0
215.0	78.0
216.0	28.0
217.0	34.0
218.0	30.0
219.0	54.0
220.0	51.0
221.0	71.0
222.0	81.0
223.0	56.0
224.0	9.0
225.0	56.0
226.0	33.0
227.0	41.0
228.0	24.0
229.0	34.0
230.0	74.0
231.0	140.0
232.0	104.0
233.0	48.0
234.0	15.0
235.0	72.0
236.0	69.0
237.0	61.0
238.0	35.0
239.0	58.0
240.0	38.0
241.0	22.0
242.0	96.0
243.0	129.0
244.0	107.0
245.0	51.0
246.0	30.0
247.0	16.0
248.0	29.0
249.0	27.0
250.0	12.0
251.0	13.0
252.0	20.0
253.0	31.0
254.0	50.0
255.0	43.0
256.0	34.0
257.0	30.0
258.0	28.0
259.0	56.0
260.0	57.0
261.0	20.0
262.0	39.0
263.0	26.0
264.0	24.0
265.0	15.0
266.0	35.0
267.0	48.0
268.0	46.0
269.0	39.0
270.0	30.0
271.0	63.0
272.0	116.0
273.0	97.0
274.0	79.0
275.0	53.0
276.0	37.0
277.0	36.0
278.0	48.0
279.0	30.0
280.0	52.0
281.0	52.0
282.0	106.0
283.0	39.0
284.0	25.0
285.0	47.0
286.0	31.0
287.0	9.0
288.0	19.0
289.0	19.0
290.0	2.0
291.0	10.0
292.0	41.0
293.0	30.0
294.0	32.0
295.0	13.0
296.0	13.0
297.0	17.0
298.0	19.0
299.0	12.0
300.0	8.0
301.0	38.0
302.0	33.0
303.0	93.0
304.0	112.0
305.0	51.0
306.0	36.0
307.0	90.0
308.0	110.0
309.0	69.0
310.0	27.0
311.0	11.0
312.0	14.0
313.0	27.0
314.0	22.0
315.0	35.0
316.0	35.0
317.0	6.0
318.0	12.0
319.0	14.0
320.0	14.0
321.0	10.0
322.0	40.0
323.0	37.0
324.0	56.0
325.0	31.0
326.0	30.0
327.0	34.0
328.0	36.0
329.0	21.0
330.0	14.0
331.0	24.0
332.0	26.0
333.0	27.0
334.0	19.0
335.0	7.0
336.0	14.0
337.0	57.0
338.0	56.0
339.0	26.0
340.0	74.0
341.0	24.0
342.0	37.0
343.0	26.0
344.0	13.0
345.0	10.0
346.0	16.0
347.0	10.0
348.0	18.0
349.0	19.0
350.0	13.0
351.0	18.0
352.0	30.0
353.0	83.0
354.0	43.0
355.0	60.0
356.0	36.0
357.0	7.0
358.0	40.0
359.0	88.0
360.0	107.0
361.0	33.0
362.0	13.0
363.0	10.0
364.0	8.0
365.0	8.0
366.0	21.0
367.0	17.0
368.0	34.0
369.0	43.0
370.0	71.0
371.0	78.0
372.0	91.0
373.0	65.0
374.0	24.0
375.0	16.0
376.0	24.0
377.0	18.0
378.0	25.0
379.0	4.0
380.0	24.0
381.0	26.0
382.0	27.0
383.0	19.0
384.0	16.0
385.0	19.0
386.0	8.0
387.0	8.0
388.0	6.0
389.0	16.0
390.0	18.0
391.0	46.0
392.0	34.0
393.0	16.0
394.0	26.0
395.0	24.0
396.0	57.0
397.0	47.0
398.0	67.0
399.0	34.0
400.0	12.0
401.0	3.0
402.0	22.0
403.0	20.0
404.0	19.0
405.0	75.0
406.0	47.0
407.0	41.0
408.0	44.0
409.0	25.0
410.0	39.0
411.0	15.0
412.0	26.0
413.0	22.0
414.0	21.0
415.0	24.0
416.0	15.0
417.0	27.0
418.0	16.0
419.0	23.0
420.0	73.0
421.0	73.0
422.0	135.0
423.0	31.0
424.0	46.0
425.0	19.0
426.0	17.0
427.0	18.0
428.0	34.0
429.0	16.0
430.0	39.0
431.0	55.0
432.0	97.0
433.0	79.0
434.0	41.0
435.0	74.0
436.0	36.0
437.0	58.0
438.0	27.0
439.0	57.0
440.0	41.0
441.0	53.0
442.0	57.0
443.0	30.0
444.0	32.0
445.0	36.0
446.0	53.0
447.0	71.0
448.0	76.0
449.0	32.0
450.0	30.0
451.0	43.0
452.0	28.0
453.0	32.0
454.0	47.0
455.0	63.0
456.0	89.0
457.0	65.0
458.0	48.0
459.0	43.0
460.0	28.0
461.0	20.0
462.0	13.0
463.0	13.0
464.0	26.0
465.0	11.0
466.0	17.0
467.0	23.0
468.0	32.0
469.0	13.0
470.0	27.0
471.0	13.0
472.0	14.0
473.0	24.0
474.0	5.0
475.0	35.0
476.0	9.0
477.0	5.0
478.0	9.0
479.0	11.0
480.0	17.0
481.0	19.0
482.0	23.0
483.0	29.0
484.0	85.0
485.0	78.0
486.0	65.0
487.0	33.0
488.0	41.0
489.0	18.0
490.0	8.0
491.0	27.0
492.0	39.0
493.0	11.0
494.0	4.0
495.0	4.0
496.0	9.0
497.0	8.0
498.0	20.0
499.0	17.0
500.0	4.0
501.0	9.0
502.0	2.0
505.0	1.0
506.0	1.0
507.0	5.0
508.0	5.0
509.0	1.0
510.0	2.0
511.0	2.0
512.0	5.0
513.0	2.0
514.0	6.0
515.0	4.0
516.0	9.0
517.0	19.0
518.0	7.0
519.0	27.0
520.0	26.0
521.0	42.0
522.0	43.0
523.0	32.0
524.0	34.0
525.0	10.0
526.0	15.0
527.0	12.0
528.0	9.0
531.0	2.0
532.0	2.0
533.0	1.0
534.0	1.0
536.0	1.0
537.0	9.0
538.0	9.0
539.0	6.0
540.0	7.0
541.0	15.0
542.0	9.0
543.0	10.0
544.0	2.0
545.0	30.0
546.0	16.0
547.0	34.0
548.0	14.0
549.0	31.0
550.0	23.0
551.0	5.0
552.0	13.0
553.0	20.0
554.0	39.0
555.0	34.0
556.0	7.0
557.0	14.0
558.0	34.0
559.0	3.0
561.0	7.0
562.0	12.0
563.0	9.0
564.0	19.0
565.0	28.0
566.0	36.0
567.0	48.0
568.0	53.0
569.0	82.0
570.0	44.0
571.0	41.0
572.0	29.0
573.0	12.0
574.0	6.0
575.0	8.0
576.0	14.0
577.0	25.0
578.0	28.0
579.0	34.0
580.0	31.0
581.0	5.0
582.0	21.0
583.0	13.0
584.0	31.0
585.0	12.0
586.0	11.0
587.0	18.0
588.0	12.0
589.0	62.0
590.0	29.0
591.0	58.0
592.0	78.0
593.0	14.0
594.0	38.0
595.0	34.0
596.0	14.0
597.0	12.0
599.0	1.0
603.0	1.0
605.0	1.0
607.0	3.0
609.0	3.0
610.0	5.0
611.0	17.0
612.0	8.0
613.0	7.0
616.0	1.0
617.0	4.0
618.0	5.0
619.0	11.0
620.0	6.0
621.0	5.0
622.0	6.0
623.0	5.0
624.0	11.0
625.0	4.0
626.0	10.0
627.0	3.0
628.0	2.0
629.0	1.0
630.0	1.0
631.0	2.0
632.0	5.0
633.0	8.0
634.0	5.0
635.0	3.0
636.0	13.0
637.0	18.0
638.0	42.0
639.0	19.0
640.0	69.0
641.0	13.0
642.0	30.0
643.0	24.0
644.0	27.0
645.0	46.0
646.0	37.0
647.0	36.0
648.0	32.0
649.0	15.0
650.0	16.0
651.0	10.0
652.0	4.0
653.0	6.0
654.0	8.0
655.0	10.0
656.0	23.0
657.0	10.0
659.0	12.0
660.0	17.0
661.0	5.0
662.0	5.0
663.0	13.0
664.0	25.0
665.0	19.0
666.0	23.0
667.0	51.0
668.0	39.0
669.0	58.0
670.0	8.0
671.0	3.0
672.0	5.0
673.0	8.0
674.0	12.0
675.0	12.0
676.0	4.0
677.0	6.0
678.0	15.0
679.0	12.0
680.0	24.0
681.0	18.0
682.0	32.0
684.0	5.0
685.0	7.0
686.0	6.0
687.0	1.0
688.0	4.0
689.0	1.0
691.0	7.0
692.0	3.0
693.0	18.0
694.0	8.0
695.0	97.0
696.0	105.0
697.0	143.0
698.0	43.0
699.0	23.0
700.0	3.0
701.0	5.0
702.0	2.0
703.0	4.0
705.0	3.0
706.0	2.0
707.0	2.0
708.0	3.0
709.0	12.0
710.0	15.0
711.0	14.0
712.0	13.0
713.0	12.0
714.0	7.0
715.0	26.0
716.0	81.0
717.0	24.0
718.0	51.0
719.0	58.0
720.0	34.0
721.0	34.0
722.0	12.0
723.0	27.0
724.0	51.0
725.0	19.0
726.0	21.0
727.0	13.0
728.0	2.0
729.0	1.0
730.0	2.0
731.0	18.0
732.0	8.0
733.0	4.0
734.0	5.0
735.0	9.0
736.0	12.0
737.0	9.0
738.0	12.0
739.0	8.0
740.0	5.0
741.0	3.0
742.0	4.0
743.0	21.0
744.0	5.0
745.0	36.0
746.0	40.0
747.0	16.0
748.0	15.0
749.0	9.0
750.0	9.0
751.0	2.0
752.0	4.0
753.0	4.0
754.0	12.0
755.0	23.0
756.0	44.0
757.0	18.0
758.0	10.0
759.0	16.0
760.0	7.0
761.0	3.0
762.0	6.0
763.0	3.0
764.0	1.0
765.0	4.0
766.0	6.0
767.0	6.0
768.0	2.0
769.0	4.0
770.0	1.0
771.0	2.0
773.0	1.0
774.0	1.0
775.0	14.0
776.0	2.0
777.0	5.0
778.0	8.0
779.0	7.0
780.0	9.0
781.0	19.0
782.0	56.0
783.0	46.0
784.0	29.0
785.0	35.0
786.0	7.0
787.0	1.0
788.0	1.0
791.0	1.0
792.0	2.0
793.0	4.0
794.0	2.0
795.0	5.0
796.0	7.0
797.0	2.0
799.0	2.0
800.0	2.0
801.0	3.0
804.0	2.0
805.0	2.0
806.0	3.0
808.0	1.0
810.0	1.0
811.0	1.0
812.0	2.0
814.0	4.0
816.0	2.0
818.0	1.0
821.0	1.0
822.0	2.0
823.0	2.0
825.0	1.0
826.0	3.0
827.0	5.0
828.0	9.0
829.0	6.0
830.0	12.0
831.0	5.0
832.0	15.0
833.0	10.0
834.0	3.0
835.0	8.0
836.0	12.0
837.0	10.0
838.0	6.0
839.0	11.0
840.0	15.0
841.0	8.0
842.0	12.0
843.0	3.0
844.0	8.0
845.0	6.0
846.0	5.0
847.0	13.0
848.0	1.0
849.0	7.0
850.0	1.0
851.0	9.0
852.0	13.0
853.0	1.0
854.0	3.0
855.0	5.0
856.0	13.0
857.0	13.0
858.0	14.0
859.0	5.0
860.0	27.0
861.0	30.0
862.0	19.0
863.0	17.0
864.0	12.0
865.0	23.0
866.0	18.0
867.0	49.0
868.0	59.0
869.0	52.0
870.0	22.0
871.0	28.0
872.0	21.0
873.0	24.0
874.0	15.0
875.0	19.0
876.0	15.0
877.0	11.0
878.0	10.0
879.0	4.0
880.0	1.0
881.0	6.0
882.0	1.0
883.0	2.0
884.0	3.0
885.0	10.0
886.0	6.0
887.0	13.0
888.0	16.0
889.0	10.0
890.0	17.0
891.0	25.0
892.0	30.0
893.0	28.0
894.0	16.0
895.0	27.0
896.0	16.0
897.0	18.0
898.0	16.0
899.0	15.0
900.0	16.0
901.0	11.0
902.0	2.0
903.0	7.0
904.0	5.0
905.0	6.0
906.0	1.0
907.0	4.0
908.0	6.0
909.0	1.0
910.0	3.0
911.0	15.0
912.0	25.0
913.0	37.0
914.0	43.0
915.0	34.0
916.0	15.0
917.0	8.0
918.0	10.0
921.0	1.0
922.0	2.0
923.0	3.0
924.0	13.0
925.0	4.0
926.0	3.0
928.0	5.0
929.0	2.0
930.0	4.0
931.0	3.0
932.0	7.0
933.0	5.0
934.0	16.0
935.0	20.0
936.0	13.0
937.0	17.0
938.0	7.0
939.0	8.0
940.0	11.0
941.0	4.0
942.0	5.0
943.0	5.0
944.0	1.0
945.0	4.0
946.0	2.0
948.0	3.0
949.0	5.0
950.0	2.0
951.0	2.0
952.0	6.0
953.0	6.0
955.0	3.0
957.0	3.0
958.0	5.0
959.0	6.0
960.0	2.0
961.0	1.0
963.0	1.0
964.0	2.0
966.0	1.0
967.0	1.0
968.0	3.0
969.0	5.0
970.0	23.0
971.0	4.0
972.0	13.0
973.0	23.0
974.0	13.0
975.0	30.0
976.0	20.0
977.0	7.0
978.0	4.0
979.0	2.0
980.0	13.0
981.0	5.0
982.0	11.0
983.0	2.0
984.0	2.0
985.0	2.0
986.0	8.0
987.0	4.0
988.0	2.0
989.0	29.0
990.0	22.0
991.0	3.0
992.0	3.0
993.0	4.0
994.0	17.0
995.0	11.0
996.0	14.0
997.0	9.0
998.0	8.0
999.0	12.0
1000.0	3.0
1001.0	5.0
1002.0	6.0
1003.0	9.0
1004.0	9.0
1005.0	8.0
1006.0	12.0
1007.0	11.0
1008.0	36.0
1009.0	32.0
1010.0	77.0
1011.0	48.0
1012.0	12.0
1013.0	10.0
1014.0	15.0
1015.0	16.0
1016.0	18.0
1017.0	36.0
1018.0	13.0
1020.0	9.0
1021.0	1.0
1022.0	4.0
1023.0	7.0
1024.0	7.0
1025.0	19.0
1026.0	7.0
1027.0	6.0
1028.0	6.0
1029.0	5.0
1030.0	7.0
1031.0	16.0
1032.0	8.0
1033.0	16.0
1034.0	9.0
1035.0	13.0
1036.0	5.0
1037.0	16.0
1038.0	11.0
1039.0	17.0
1040.0	10.0
1043.0	3.0
1044.0	1.0
1045.0	3.0
1046.0	2.0
1047.0	14.0
1048.0	1.0
1049.0	21.0
1050.0	5.0
1051.0	7.0
1052.0	9.0
1053.0	3.0
1054.0	7.0
1055.0	10.0
1056.0	12.0
1057.0	9.0
1058.0	10.0
1059.0	10.0
1060.0	21.0
1061.0	12.0
1062.0	25.0
1063.0	7.0
1064.0	10.0
1065.0	17.0
1066.0	14.0
1067.0	15.0
1068.0	13.0
1069.0	10.0
1070.0	18.0
1071.0	15.0
1072.0	6.0
1073.0	4.0
1075.0	2.0
1076.0	1.0
1077.0	2.0
1081.0	1.0
1082.0	1.0
1084.0	4.0
1086.0	7.0
1087.0	10.0
1088.0	12.0
1089.0	10.0
1090.0	1.0
1091.0	5.0
1095.0	2.0
1096.0	3.0
1114.0	1.0
1119.0	1.0
1120.0	1.0
1121.0	2.0
1122.0	9.0
1123.0	1.0
1124.0	2.0
1125.0	1.0
1127.0	4.0
1128.0	5.0
1129.0	5.0
1130.0	3.0
1131.0	1.0
1132.0	3.0
1133.0	1.0
1134.0	13.0
1135.0	3.0
1136.0	3.0
1137.0	3.0
1138.0	1.0
1139.0	5.0
1141.0	2.0
1145.0	2.0
1147.0	1.0
1151.0	2.0
1154.0	2.0
1158.0	2.0
1161.0	2.0
1166.0	1.0
1167.0	3.0
1172.0	1.0
1173.0	1.0
1174.0	1.0
1176.0	1.0
1177.0	1.0
1180.0	1.0
1181.0	5.0
1182.0	4.0
1183.0	2.0
1184.0	2.0
1187.0	1.0
1188.0	4.0
1189.0	4.0
1190.0	6.0
1191.0	7.0
1192.0	6.0
1193.0	9.0
1194.0	2.0
1195.0	1.0
1196.0	2.0
1197.0	2.0
1198.0	1.0
1199.0	1.0
1203.0	1.0
1204.0	3.0
1205.0	2.0
1207.0	1.0
1208.0	1.0
1211.0	1.0
1212.0	1.0
1213.0	5.0
1214.0	4.0
1215.0	2.0
1216.0	1.0
1218.0	3.0
1220.0	1.0
1221.0	2.0
1223.0	1.0
1224.0	2.0
1225.0	3.0
1226.0	3.0
1227.0	4.0
1228.0	14.0
1229.0	2.0
1230.0	5.0
1231.0	2.0
1232.0	3.0
1233.0	8.0
1234.0	5.0
1235.0	15.0
1236.0	9.0
1237.0	17.0
1238.0	14.0
1239.0	54.0
1240.0	44.0
1241.0	39.0
1242.0	60.0
1243.0	39.0
1244.0	62.0
1245.0	47.0
1246.0	31.0
1247.0	41.0
1248.0	8.0
1249.0	13.0
1250.0	16.0
1251.0	3.0
1252.0	1.0
1253.0	6.0
1254.0	4.0
1255.0	4.0
1256.0	4.0
1257.0	10.0
1258.0	6.0
1259.0	7.0
1260.0	5.0
1261.0	9.0
1262.0	11.0
1263.0	7.0
1264.0	13.0
1265.0	7.0
1266.0	8.0
1267.0	4.0
1268.0	5.0
1269.0	1.0
1270.0	15.0
1271.0	3.0
1272.0	13.0
1273.0	15.0
1274.0	8.0
1275.0	7.0
1276.0	4.0
1277.0	9.0
1278.0	13.0
1279.0	4.0
1280.0	6.0
1281.0	4.0
1282.0	4.0
1283.0	14.0
1284.0	8.0
1285.0	12.0
1286.0	18.0
1287.0	23.0
1288.0	36.0
1289.0	20.0
1290.0	25.0
1291.0	9.0
1292.0	26.0
1293.0	11.0
1294.0	1.0
1295.0	2.0
1296.0	5.0
1297.0	2.0
1298.0	27.0
1299.0	24.0
1300.0	19.0
1301.0	9.0
1302.0	3.0
1303.0	5.0
1304.0	4.0
1305.0	5.0
1306.0	16.0
1307.0	11.0
1308.0	31.0
1309.0	20.0
1310.0	21.0
1311.0	28.0
1312.0	3.0
1313.0	5.0
1314.0	7.0
1315.0	2.0
1316.0	3.0
1319.0	1.0
1320.0	6.0
1321.0	3.0
1323.0	2.0
1324.0	1.0
1325.0	3.0
1326.0	1.0
1327.0	4.0
1328.0	2.0
1329.0	2.0
1330.0	1.0
1331.0	1.0
1345.0	1.0
1347.0	3.0
1349.0	1.0
1358.0	1.0
1359.0	1.0
1377.0	1.0
1382.0	2.0
1383.0	1.0
1384.0	5.0
1385.0	16.0
1386.0	5.0
1387.0	13.0
1389.0	1.0
1391.0	1.0
1395.0	1.0
1396.0	1.0
1397.0	2.0
1398.0	1.0
1399.0	3.0
1400.0	16.0
1401.0	24.0
1402.0	35.0
1403.0	9.0
1404.0	8.0
1406.0	2.0
1407.0	1.0
1408.0	3.0
1409.0	7.0
1410.0	6.0
1411.0	8.0
1412.0	2.0
1413.0	10.0
1415.0	3.0
1416.0	4.0
1417.0	13.0
1418.0	10.0
1419.0	6.0
1420.0	1.0
1421.0	2.0
1422.0	7.0
1423.0	1.0
1424.0	4.0
1426.0	1.0
1428.0	2.0
1429.0	2.0
1438.0	1.0
1440.0	1.0
1443.0	1.0
1446.0	2.0
1449.0	3.0
1453.0	2.0
1454.0	1.0
1455.0	1.0
1456.0	4.0
1458.0	1.0
1460.0	1.0
1462.0	1.0
1464.0	3.0
1465.0	8.0
1466.0	14.0
1467.0	13.0
1468.0	19.0
1469.0	15.0
1470.0	6.0
1471.0	9.0
1472.0	30.0
1473.0	25.0
1474.0	33.0
1475.0	15.0
1476.0	29.0
1477.0	32.0
1478.0	14.0
1479.0	16.0
1480.0	15.0
1481.0	14.0
1482.0	13.0
1483.0	9.0
1484.0	11.0
1485.0	3.0
1486.0	1.0
1487.0	4.0
1488.0	2.0
1489.0	6.0
1490.0	6.0
1491.0	18.0
1492.0	17.0
1493.0	34.0
1494.0	29.0
1495.0	21.0
1496.0	31.0
1497.0	12.0
1498.0	15.0
1499.0	7.0
1500.0	1.0
1508.0	1.0
1525.0	2.0
1526.0	1.0
1527.0	8.0
1528.0	9.0
1529.0	12.0
1530.0	7.0
1531.0	2.0
1532.0	2.0
1534.0	5.0
1535.0	1.0
1536.0	1.0
1537.0	1.0
1539.0	1.0
1540.0	1.0
1541.0	3.0
1542.0	2.0
1543.0	2.0
1546.0	1.0
1548.0	1.0
1549.0	2.0
1550.0	1.0
1554.0	3.0
1555.0	4.0
1556.0	4.0
1557.0	2.0
1558.0	1.0
1559.0	1.0
1561.0	1.0
1562.0	2.0
1563.0	3.0
1567.0	2.0
1568.0	3.0
1569.0	2.0
1584.0	1.0
1585.0	1.0
1588.0	1.0
1589.0	1.0
1590.0	2.0
1591.0	2.0
1592.0	1.0
1593.0	3.0
1594.0	7.0
1595.0	8.0
1596.0	1.0
1598.0	10.0
1599.0	4.0
1600.0	10.0
1601.0	18.0
1602.0	21.0
1603.0	12.0
1604.0	16.0
1605.0	15.0
1606.0	8.0
1607.0	13.0
1608.0	9.0
1609.0	20.0
1610.0	30.0
1611.0	27.0
1612.0	22.0
1613.0	12.0
1614.0	4.0
1618.0	1.0
1620.0	1.0
1624.0	1.0
1627.0	1.0
1653.0	1.0
1658.0	1.0
1660.0	1.0
1661.0	1.0
1662.0	6.0
1665.0	2.0
1667.0	1.0
1668.0	13.0
1669.0	13.0
1670.0	66.0
1671.0	37.0
1672.0	38.0
1673.0	14.0
1674.0	2.0
1675.0	20.0
1676.0	4.0
1702.0	1.0
1718.0	4.0
1719.0	1.0
1720.0	6.0
1721.0	2.0
1722.0	7.0
1723.0	3.0
1724.0	4.0
1725.0	5.0
1726.0	4.0
1727.0	20.0
1728.0	19.0
1729.0	3.0
1730.0	3.0
1731.0	11.0
1732.0	6.0
1733.0	11.0
1734.0	16.0
1735.0	11.0
1736.0	13.0
1737.0	15.0
1738.0	10.0
1739.0	14.0
1740.0	10.0
1741.0	4.0
1743.0	6.0
1745.0	1.0
1791.0	1.0
1796.0	2.0
1797.0	2.0
1798.0	1.0
1799.0	17.0
1800.0	8.0
1801.0	7.0
1802.0	29.0
1803.0	21.0
1804.0	7.0
1805.0	7.0
1806.0	2.0
1807.0	4.0
1808.0	5.0
1809.0	17.0
1810.0	21.0
1811.0	9.0
1812.0	12.0
1813.0	16.0
1814.0	21.0
1950.0	1.0
1951.0	1.0
1953.0	2.0
1954.0	1.0
1955.0	1.0
1956.0	2.0
1957.0	1.0
2068.0	1.0
2069.0	1.0
2070.0	1.0
2071.0	1.0
2075.0	1.0
2077.0	1.0
2079.0	4.0
2080.0	2.0
2081.0	12.0
2082.0	10.0
2083.0	13.0
2084.0	12.0
2085.0	2.0
2086.0	7.0
2087.0	11.0
2088.0	12.0
2089.0	10.0
2090.0	13.0
2091.0	25.0
2092.0	40.0
2093.0	15.0
2094.0	20.0
2213.0	1.0
2217.0	3.0
2218.0	1.0
2219.0	14.0
2220.0	7.0
2221.0	6.0
2222.0	12.0
2223.0	6.0
2225.0	1.0
2227.0	4.0
2230.0	1.0
2231.0	1.0
2232.0	7.0
2233.0	33.0
2234.0	10.0
2235.0	12.0
2236.0	10.0
2237.0	4.0
2238.0	7.0
2239.0	12.0
2253.0	1.0
2258.0	1.0
2259.0	1.0
2261.0	1.0
2262.0	2.0
2263.0	1.0
2264.0	1.0
2266.0	3.0
2267.0	2.0
2268.0	1.0
2269.0	5.0
2270.0	7.0
2271.0	1.0
2272.0	11.0
2273.0	2.0
2274.0	4.0
2275.0	14.0
2276.0	5.0
2277.0	13.0
2278.0	29.0
2279.0	8.0
2280.0	1.0
2281.0	14.0
2282.0	5.0
2283.0	14.0
2284.0	7.0
2285.0	16.0
2286.0	5.0
2296.0	1.0
2336.0	1.0
2342.0	1.0
2343.0	1.0
2344.0	1.0
2345.0	6.0
2346.0	15.0
2347.0	11.0
2348.0	4.0
2349.0	10.0
2350.0	1.0
2351.0	4.0
2352.0	2.0
2353.0	3.0
2354.0	9.0
2355.0	5.0
2548.0	1.0
2551.0	1.0
2554.0	1.0
2557.0	2.0
2558.0	1.0
2559.0	1.0
2564.0	1.0
