#Coverage (X)	Coverage
1.0	99.45824833628733
2.0	99.45156004414272
3.0	99.03019763903288
4.0	98.86299033541785
5.0	98.54864060462161
6.0	98.54864060462161
7.0	98.54864060462161
8.0	98.54864060462161
9.0	98.4851018292479
10.0	98.34464769421129
11.0	98.31455037956059
12.0	98.28445306490987
13.0	98.28110891883757
14.0	98.15403136809016
15.0	98.09718088486105
16.0	97.97010333411363
17.0	97.91325285088453
18.0	97.78617530013712
19.0	97.6390328729559
20.0	97.49523459184697
21.0	97.41831923218406
22.0	97.40828679396716
23.0	97.28455338929204
24.0	96.85984683810989
25.0	96.47192589372304
26.0	96.41507541049393
27.0	96.1642644550714
28.0	96.10406982577
29.0	96.05390763468549
30.0	96.04053105039628
31.0	96.03718690432399
32.0	96.03718690432399
33.0	96.01043373574558
34.0	95.89673276928737
35.0	95.88670033107046
36.0	95.86663545463666
37.0	95.72283717352774
38.0	95.47202621810521
39.0	94.97709259940474
40.0	94.7329699361268
41.0	94.53232117178878
42.0	94.51560044142728
43.0	94.49553556499347
44.0	94.49219141892118
45.0	94.48884727284889
46.0	94.48215898070428
47.0	94.48215898070428
48.0	94.48215898070428
49.0	94.48215898070428
50.0	94.48215898070428
51.0	94.45206166605358
