#Coverage (X)	Coverage
1.0	99.45156004414272
2.0	98.54864060462161
3.0	98.54864060462161
4.0	98.4349396381634
5.0	98.37808915493429
6.0	98.28110891883757
7.0	98.26438818847608
8.0	98.20753770524696
9.0	98.00354479483664
10.0	97.51864361435308
11.0	97.29458582750894
12.0	97.22770290606293
13.0	96.950138782062
14.0	96.72608099521787
15.0	96.11744641005919
16.0	95.95692739858877
17.0	95.92014179179347
18.0	95.85325887034746
19.0	95.75293448817844
20.0	95.4787145102498
21.0	95.3850784202254
22.0	95.29813062234558
23.0	95.27806574591177
24.0	95.17774136374277
25.0	94.62261311574089
26.0	94.37180216031837
27.0	94.16446510383574
28.0	93.70631709193057
29.0	93.42540882185733
30.0	92.81343009062635
31.0	92.69972912416814
32.0	92.4021001237334
33.0	91.80684212286393
34.0	91.40220044811558
35.0	91.15807778483764
36.0	90.57954051432966
37.0	90.10801591813531
38.0	89.3187974450724
39.0	89.06798648964987
40.0	88.74360432063672
41.0	88.64996823061232
42.0	88.4626960505635
43.0	88.06139852188744
44.0	87.46614052101796
45.0	86.91435641908839
46.0	86.81068789084708
47.0	86.58663010400295
48.0	86.49299401397853
49.0	86.33581914858041
50.0	86.2923452496405
51.0	86.17195599103769
