	SAMPLE1_SE.variants.tsv
summarized	[('Other', 0.9999999993629595)]
lineages	B.1.609 B.1.195 B.1.224 B.1.78 B.1.8 B.27
abundances	0.91945120 0.02439020 0.02247190 0.01449280 0.01315790 0.00603600
resid	2.575011370384261
coverage	96.73945757950708
