	SAMPLE1_PE.variants.tsv
summarized	[('Other', 0.9999999954751777)]
lineages	B.1.609 B.1.195 B.1.224 B.1.78 B.1.8 B.27
abundances	0.93605400 0.01960780 0.01550390 0.01250000 0.01015230 0.00618200
resid	2.221026686149433
coverage	97.88649968230612
