#Coverage (X)	Coverage
1.0	96.88994415276059
2.0	95.84657057820286
3.0	95.53890913955121
4.0	95.5088118249005
5.0	95.46533792596061
6.0	95.45864963381601
7.0	95.4553054877437
8.0	95.44192890345451
9.0	95.25465672340567
10.0	95.25131257733338
11.0	95.25131257733338
12.0	95.25131257733338
13.0	95.24796843126107
14.0	95.24796843126107
15.0	95.24796843126107
16.0	95.24796843126107
17.0	95.24796843126107
18.0	95.24796843126107
19.0	95.24796843126107
20.0	95.24796843126107
21.0	95.24796843126107
22.0	95.24796843126107
23.0	95.24462428518878
24.0	95.24462428518878
25.0	95.24462428518878
26.0	95.24462428518878
27.0	95.24462428518878
28.0	95.24462428518878
29.0	95.24462428518878
30.0	95.24462428518878
31.0	95.24462428518878
32.0	95.24462428518878
33.0	95.24462428518878
34.0	95.24462428518878
35.0	95.24462428518878
36.0	95.23459184697188
37.0	95.22790355482728
38.0	95.22790355482728
39.0	95.22790355482728
40.0	95.22455940875497
41.0	95.22455940875497
42.0	95.21787111661037
43.0	95.21787111661037
44.0	95.21452697053807
45.0	95.21452697053807
46.0	95.21452697053807
47.0	95.21452697053807
48.0	95.21452697053807
49.0	95.21452697053807
50.0	95.21452697053807
51.0	95.21452697053807
