#Insert size (bp)	insert size
22.0	1.0
30.0	1.0
33.0	7.0
37.0	1.0
41.0	2.0
46.0	1.0
51.0	1.0
52.0	1.0
56.0	1.0
57.0	1.0
59.0	1.0
61.0	1.0
67.0	1.0
69.0	1.0
70.0	2.0
71.0	1.0
78.0	3.0
79.0	1.0
80.0	1.0
81.0	2.0
83.0	2.0
84.0	1.0
85.0	1.0
87.0	3.0
88.0	1.0
89.0	2.0
91.0	1.0
92.0	1.0
93.0	1.0
95.0	3.0
96.0	3.0
97.0	2.0
100.0	1.0
101.0	2.0
103.0	1.0
104.0	2.0
105.0	2.0
106.0	1.0
108.0	1.0
109.0	1.0
110.0	2.0
112.0	1.0
114.0	1.0
115.0	1.0
116.0	3.0
120.0	3.0
122.0	1.0
123.0	21.0
125.0	2.0
127.0	1.0
128.0	2.0
131.0	1.0
134.0	2.0
135.0	1.0
137.0	3.0
138.0	2.0
140.0	1.0
141.0	2.0
143.0	3.0
144.0	4.0
145.0	1.0
146.0	5.0
147.0	1.0
150.0	2.0
151.0	3.0
154.0	2.0
155.0	2.0
156.0	1.0
158.0	1.0
159.0	3.0
160.0	1.0
161.0	2.0
162.0	2.0
163.0	2.0
164.0	6.0
165.0	1.0
166.0	1.0
168.0	6.0
169.0	1.0
172.0	2.0
173.0	4.0
174.0	1.0
175.0	4.0
176.0	1.0
177.0	1.0
178.0	5.0
179.0	1.0
180.0	2.0
182.0	1.0
183.0	3.0
184.0	2.0
185.0	4.0
186.0	1.0
187.0	4.0
188.0	1.0
189.0	3.0
191.0	2.0
192.0	2.0
193.0	1.0
194.0	4.0
195.0	2.0
196.0	3.0
198.0	2.0
199.0	1.0
200.0	2.0
201.0	1.0
202.0	4.0
205.0	3.0
206.0	1.0
207.0	1.0
208.0	1.0
209.0	2.0
210.0	61.0
211.0	1.0
212.0	1.0
213.0	2.0
216.0	2.0
217.0	5.0
218.0	3.0
219.0	5.0
221.0	8.0
222.0	3.0
223.0	1.0
225.0	3.0
229.0	1.0
230.0	2.0
231.0	1.0
232.0	1.0
234.0	2.0
235.0	1.0
236.0	1.0
237.0	1.0
238.0	3.0
239.0	4.0
240.0	1.0
241.0	3.0
242.0	4.0
243.0	3.0
244.0	3.0
245.0	4.0
246.0	1.0
247.0	3.0
248.0	4.0
249.0	4.0
250.0	2.0
251.0	5.0
252.0	1.0
253.0	2.0
254.0	4.0
255.0	6.0
256.0	2.0
257.0	1.0
258.0	4.0
259.0	3.0
260.0	3.0
261.0	2.0
262.0	4.0
263.0	2.0
264.0	9.0
265.0	2.0
266.0	4.0
267.0	5.0
268.0	5.0
269.0	1.0
270.0	2.0
271.0	5.0
272.0	2.0
273.0	1.0
274.0	9.0
275.0	1.0
276.0	2.0
277.0	1.0
278.0	2.0
279.0	6.0
280.0	2.0
281.0	2.0
282.0	4.0
283.0	4.0
284.0	6.0
285.0	5.0
286.0	1.0
287.0	2.0
288.0	3.0
289.0	1.0
290.0	4.0
291.0	4.0
292.0	1.0
293.0	2.0
294.0	7.0
295.0	2.0
296.0	8.0
297.0	3.0
298.0	3.0
299.0	4.0
