#Insert size (bp)	insert size
300.0	5.0
301.0	1.0
302.0	3.0
303.0	5.0
304.0	9.0
305.0	5.0
306.0	37.0
307.0	4.0
308.0	7.0
309.0	7.0
310.0	4.0
311.0	3.0
312.0	5.0
313.0	8.0
314.0	9.0
315.0	5.0
316.0	6.0
317.0	8.0
318.0	8.0
319.0	4.0
320.0	5.0
321.0	7.0
322.0	13.0
323.0	9.0
324.0	6.0
325.0	5.0
326.0	14.0
327.0	5.0
328.0	7.0
329.0	15.0
330.0	5.0
331.0	9.0
332.0	10.0
333.0	5.0
334.0	10.0
335.0	12.0
336.0	6.0
337.0	7.0
338.0	11.0
339.0	7.0
340.0	7.0
341.0	9.0
342.0	10.0
343.0	17.0
344.0	6.0
345.0	18.0
346.0	16.0
347.0	15.0
348.0	36.0
349.0	26.0
350.0	26.0
351.0	22.0
352.0	17.0
353.0	22.0
354.0	33.0
355.0	22.0
356.0	25.0
357.0	22.0
358.0	27.0
359.0	18.0
360.0	22.0
361.0	17.0
362.0	27.0
363.0	24.0
364.0	24.0
365.0	34.0
366.0	30.0
367.0	25.0
368.0	22.0
369.0	40.0
370.0	30.0
371.0	34.0
372.0	37.0
373.0	55.0
374.0	39.0
375.0	51.0
376.0	68.0
377.0	103.0
378.0	109.0
379.0	171.0
380.0	2209.0
381.0	1841.0
382.0	947.0
383.0	1427.0
384.0	160.0
385.0	610.0
386.0	1017.0
387.0	691.0
388.0	688.0
389.0	529.0
390.0	88.0
391.0	254.0
392.0	1457.0
393.0	1816.0
394.0	1248.0
395.0	213.0
396.0	666.0
397.0	44.0
398.0	341.0
399.0	135.0
400.0	491.0
401.0	143.0
402.0	27.0
403.0	37.0
404.0	218.0
405.0	523.0
406.0	122.0
407.0	768.0
408.0	59.0
409.0	43.0
410.0	16.0
411.0	173.0
412.0	37.0
413.0	70.0
414.0	13.0
415.0	13.0
416.0	15.0
417.0	52.0
418.0	454.0
419.0	43.0
420.0	2.0
421.0	5.0
422.0	5.0
423.0	3.0
424.0	1.0
425.0	4.0
427.0	4.0
428.0	3.0
429.0	2.0
430.0	2.0
431.0	7.0
432.0	2.0
433.0	9.0
434.0	4.0
435.0	3.0
436.0	2.0
437.0	2.0
438.0	1.0
439.0	2.0
440.0	2.0
441.0	3.0
442.0	3.0
443.0	5.0
444.0	2.0
445.0	4.0
447.0	2.0
448.0	1.0
449.0	1.0
450.0	2.0
451.0	4.0
452.0	2.0
453.0	3.0
454.0	3.0
455.0	3.0
456.0	2.0
457.0	6.0
458.0	3.0
459.0	6.0
460.0	2.0
461.0	2.0
464.0	2.0
466.0	3.0
467.0	3.0
468.0	3.0
469.0	1.0
470.0	3.0
471.0	2.0
472.0	2.0
473.0	2.0
474.0	4.0
475.0	4.0
476.0	8.0
477.0	1.0
479.0	4.0
480.0	2.0
481.0	3.0
482.0	2.0
483.0	3.0
484.0	5.0
485.0	1.0
486.0	4.0
487.0	4.0
488.0	11.0
489.0	1.0
490.0	1.0
491.0	6.0
492.0	6.0
493.0	8.0
494.0	3.0
496.0	4.0
497.0	1.0
498.0	4.0
499.0	4.0
500.0	4.0
501.0	2.0
502.0	3.0
503.0	2.0
504.0	2.0
505.0	3.0
506.0	3.0
507.0	8.0
508.0	7.0
509.0	6.0
510.0	2.0
511.0	3.0
512.0	5.0
513.0	3.0
514.0	3.0
515.0	8.0
516.0	4.0
517.0	4.0
518.0	5.0
519.0	5.0
520.0	2.0
521.0	2.0
522.0	3.0
523.0	2.0
524.0	3.0
525.0	4.0
526.0	2.0
527.0	7.0
528.0	1.0
530.0	4.0
531.0	5.0
532.0	3.0
533.0	7.0
534.0	3.0
535.0	6.0
536.0	1.0
537.0	5.0
538.0	3.0
539.0	3.0
540.0	3.0
541.0	3.0
542.0	5.0
543.0	3.0
544.0	3.0
545.0	5.0
546.0	2.0
547.0	2.0
548.0	1.0
549.0	7.0
550.0	3.0
551.0	2.0
552.0	3.0
554.0	3.0
555.0	2.0
556.0	5.0
557.0	6.0
558.0	6.0
560.0	1.0
561.0	1.0
562.0	3.0
563.0	2.0
564.0	2.0
566.0	3.0
567.0	6.0
568.0	8.0
569.0	3.0
570.0	4.0
571.0	2.0
572.0	2.0
573.0	3.0
574.0	2.0
575.0	2.0
576.0	5.0
577.0	2.0
578.0	3.0
579.0	3.0
580.0	2.0
581.0	10.0
582.0	3.0
583.0	2.0
584.0	4.0
585.0	6.0
586.0	3.0
587.0	5.0
588.0	1.0
589.0	22.0
590.0	2.0
591.0	2.0
592.0	11.0
593.0	3.0
594.0	3.0
595.0	4.0
596.0	1.0
597.0	1.0
598.0	3.0
599.0	2.0
600.0	5.0
602.0	4.0
603.0	3.0
604.0	11.0
605.0	1.0
606.0	11.0
607.0	3.0
608.0	2.0
609.0	2.0
610.0	4.0
611.0	12.0
612.0	9.0
613.0	27.0
614.0	8.0
615.0	7.0
616.0	32.0
617.0	2.0
618.0	3.0
619.0	2.0
620.0	4.0
621.0	2.0
622.0	9.0
623.0	5.0
624.0	8.0
625.0	40.0
626.0	1.0
627.0	19.0
628.0	8.0
629.0	14.0
630.0	135.0
631.0	4.0
632.0	6.0
633.0	17.0
634.0	8.0
635.0	5.0
636.0	1.0
637.0	7.0
638.0	11.0
639.0	14.0
640.0	8.0
641.0	10.0
642.0	7.0
643.0	12.0
644.0	49.0
645.0	4.0
646.0	5.0
647.0	19.0
648.0	7.0
649.0	20.0
650.0	33.0
651.0	45.0
652.0	9.0
653.0	6.0
654.0	10.0
655.0	18.0
656.0	15.0
657.0	6.0
658.0	3.0
659.0	29.0
660.0	7.0
661.0	9.0
662.0	6.0
663.0	8.0
664.0	9.0
665.0	18.0
666.0	6.0
667.0	3.0
668.0	9.0
669.0	24.0
670.0	10.0
671.0	14.0
672.0	74.0
673.0	14.0
674.0	22.0
675.0	21.0
676.0	8.0
677.0	9.0
678.0	9.0
679.0	11.0
680.0	15.0
681.0	41.0
682.0	5.0
683.0	35.0
684.0	1.0
685.0	8.0
686.0	6.0
687.0	11.0
688.0	55.0
689.0	17.0
690.0	14.0
691.0	61.0
692.0	210.0
693.0	11.0
694.0	21.0
695.0	42.0
696.0	17.0
697.0	11.0
698.0	99.0
699.0	4.0
700.0	72.0
701.0	73.0
702.0	10.0
703.0	6.0
704.0	10.0
705.0	35.0
706.0	18.0
707.0	13.0
708.0	36.0
709.0	16.0
710.0	5.0
711.0	8.0
712.0	8.0
713.0	2.0
714.0	9.0
715.0	23.0
716.0	5.0
717.0	4.0
718.0	65.0
719.0	13.0
720.0	14.0
721.0	2.0
722.0	5.0
723.0	9.0
724.0	4.0
725.0	19.0
726.0	20.0
727.0	4.0
728.0	42.0
729.0	1.0
730.0	1.0
731.0	2.0
732.0	5.0
733.0	2.0
734.0	2.0
735.0	3.0
736.0	25.0
737.0	3.0
738.0	4.0
739.0	5.0
740.0	3.0
741.0	1.0
742.0	4.0
743.0	2.0
744.0	3.0
745.0	3.0
746.0	1.0
747.0	1.0
748.0	5.0
750.0	5.0
751.0	2.0
752.0	1.0
755.0	3.0
756.0	1.0
757.0	1.0
758.0	1.0
759.0	3.0
760.0	5.0
761.0	2.0
762.0	2.0
763.0	2.0
764.0	1.0
765.0	3.0
766.0	3.0
768.0	3.0
769.0	5.0
770.0	1.0
771.0	5.0
772.0	2.0
773.0	1.0
774.0	4.0
775.0	2.0
777.0	3.0
778.0	5.0
779.0	3.0
780.0	7.0
781.0	6.0
782.0	4.0
784.0	4.0
785.0	4.0
786.0	10.0
787.0	2.0
788.0	1.0
789.0	2.0
790.0	5.0
791.0	5.0
794.0	1.0
795.0	17.0
796.0	2.0
797.0	2.0
798.0	1.0
799.0	4.0
800.0	3.0
801.0	3.0
802.0	2.0
803.0	2.0
804.0	4.0
805.0	3.0
806.0	6.0
807.0	6.0
808.0	5.0
809.0	16.0
810.0	4.0
811.0	2.0
812.0	3.0
813.0	4.0
814.0	1.0
