	Sample2.variants.tsv
summarized	[('Other', 0.9999999932557835)]
lineages	B.19 B.23 B.20 B.15 B
abundances	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000
resid	0.6950269036563529
coverage	91.98408186469585
