	Sample1.variants.tsv
summarized	[('Omicron', 0.996563954080369), ('Other', 0.0020169895535669087)]
lineages	BA.5.5 BA.4.1 BG.5 BA.2.24 BF.1 BA.4.1.9 BA.2.33 BA.2.12.1 BA.5 BA.2.23 B.1.8 B.1
abundances	0.27709437 0.26958071 0.19322500 0.14362675 0.05131860 0.02272729 0.01930220 0.01414200 0.00330502 0.00224203 0.00100849 0.00100849
resid	3.2600640108038466
coverage	94.21462729492025
