#Coverage (X)	Coverage
1.0	95.4218640270207
2.0	93.39531150720663
3.0	93.10437079891649
4.0	93.0943383606996
5.0	93.0843059224827
6.0	93.08096177641039
7.0	93.08096177641039
8.0	93.08096177641039
9.0	93.08096177641039
10.0	93.07427348426579
11.0	93.0709293381935
12.0	93.0709293381935
13.0	93.0709293381935
14.0	93.0709293381935
15.0	93.0709293381935
16.0	93.0709293381935
17.0	93.0709293381935
18.0	93.0709293381935
19.0	93.0709293381935
20.0	93.0709293381935
21.0	93.0709293381935
22.0	93.0709293381935
23.0	93.0709293381935
24.0	93.0709293381935
25.0	93.0709293381935
26.0	93.0709293381935
27.0	93.0709293381935
28.0	93.0709293381935
29.0	93.0709293381935
30.0	93.0709293381935
31.0	93.0709293381935
32.0	93.0709293381935
33.0	93.0709293381935
34.0	93.0709293381935
35.0	93.0709293381935
36.0	93.0709293381935
37.0	93.0709293381935
38.0	93.0709293381935
39.0	93.0709293381935
40.0	93.0709293381935
41.0	93.0709293381935
42.0	93.0709293381935
43.0	93.0709293381935
44.0	93.0709293381935
45.0	93.0709293381935
46.0	93.0709293381935
47.0	93.0709293381935
48.0	93.0709293381935
49.0	93.0709293381935
50.0	93.0709293381935
51.0	93.0709293381935
